"run_id","date","pipeline_family","documents","entities","assertions","linked_entities","candidate_identifiers","submission_state","artifact","final_score","outcome"
"baseline-canary","2026-07-24","gliner_rules",1,18,0,4,4,"partial_or_smoke",,,"Canary only; not leaderboard-comparable."
"baseline-canary-v2","2026-07-24","gliner_rules",1,15,0,3,3,"partial_or_smoke",,,"Canary only."
"gliner-canary","2026-07-24","gliner_probe",1,59,0,24,66,"partial_or_smoke",,,"Dense one-document probe."
"gliner-canary-v2","2026-07-24","gliner_probe",1,37,0,21,25,"partial_or_smoke",,,"Lower-density canary."
"baseline-gliner-v1","2026-07-27","gliner_probe",100,3460,242,766,1507,"packaged_not_submitted","artifacts/leaderboard_last4_20260727/submission-3-gliner-entity-probe.zip",,"Packaged but submission was discouraged because the probe was too noisy."
"full100-smoke","2026-07-26","gliner_qwen",3,154,0,32,32,"partial_or_smoke",,,"Preflight completed."
"full100-v1","2026-07-26","gliner_qwen",100,2790,79,485,522,"scored","output.zip",29.1764,"Initial complete scored baseline."
"subA-smoke","2026-07-26","recall_subA",5,363,77,67,74,"partial_or_smoke",,,"Smoke variant."
"subA-smoke-v2","2026-07-26","recall_subA",5,363,77,67,75,"partial_or_smoke",,,"Smoke variant."
"subA-smoke-v3","2026-07-26","recall_subA",5,363,77,67,67,"partial_or_smoke",,,"Smoke variant."
"subA-full100","2026-07-27","recall_subA",100,4132,744,984,1004,"scored","artifacts/subA-full100-reconstructed.zip",22.8838,"High recall and assertion density materially hurt every component."
"audited-candidates","2026-07-27","controlled_overlay",100,2790,79,527,546,"scored","artifacts/leaderboard_last4_20260727/submission-1-audited-candidates.zip",28.8719,"Candidate overlay reduced the candidate score."
"audited-assertions","2026-07-27","controlled_overlay",100,2790,256,485,522,"scored","artifacts/leaderboard_last4_20260727/submission-2-audited-assertions.zip",29.5991,"Small clean assertion gain; pre-direct best."
"direct-extraction-offline-probe","2026-07-28","direct_extraction",100,2801,487,252,252,"local_complete",,,"Complete and lossless; local comparison only."
"direct-extraction-v1","2026-07-28","direct_extraction",100,2801,487,277,277,"scored","artifacts/direct-extraction-v1.zip",35.7681,"Current best; all components improved."
"direct-extraction-v2-strict","2026-07-28","direct_extraction",100,2477,428,806,806,"scored","artifacts/direct-extraction-v2-strict.zip",30.8855,"Confirmed regression; dropped 324 rows and forced 529 candidates."
"direct-extraction-v3-force-keep","2026-07-28","direct_extraction",100,2801,487,806,806,"pending_submission","artifacts/direct-extraction-v3-force-keep.zip",,"Validated and packaged; not yet scored."
"luna-s3-smoke","2026-07-27","luna_consensus",3,100,1,20,20,"partial_or_smoke",,,"Smoke completed."
"luna-s3-full","2026-07-28","luna_consensus",100,3594,279,417,450,"submission_unknown","submission-3-luna-consensus.zip",,"Complete package; submission status cannot be inferred."
"luna-s4-recovery","2026-07-28","luna_recovery",100,3663,283,418,451,"submission_unknown","submission-4-luna-recovery.zip",,"Complete package; submission status cannot be inferred."
"online-qwen-rxnav-icd10-first5","2026-07-24","qwen_online",0,0,0,0,0,"partial_or_smoke",,,"Preflight/incomplete."
"openrouter-first5-preflight","2026-07-25","openrouter_qwen",0,0,0,0,0,"partial_or_smoke",,,"Preflight only."
"openrouter-first5-preflight-v2","2026-07-25","openrouter_qwen",0,0,0,0,0,"partial_or_smoke",,,"Preflight only."
"openrouter-qwen35-first5","2026-07-25","openrouter_qwen",0,0,0,0,0,"partial_or_smoke",,,"Incomplete."
"openrouter-qwen35-first5-v2","2026-07-25","openrouter_qwen",0,0,0,0,0,"partial_or_smoke",,,"Incomplete."
"openrouter-qwen35-first5-v3","2026-07-25","openrouter_qwen",1,41,0,24,47,"partial_or_smoke",,,"Only one output completed."
"openrouter-selective-first5-20260725","2026-07-25","openrouter_selective",1,38,0,16,16,"partial_or_smoke",,,"Incomplete."
"openrouter-selective-first5-doc1-20260725","2026-07-25","openrouter_selective",0,0,0,0,0,"partial_or_smoke",,,"Canary/preflight."
"openrouter-selective-first5-doc1-v2-20260725","2026-07-25","openrouter_selective",1,37,0,16,16,"partial_or_smoke",,,"One-document canary."
"openrouter-selective-first5-doc1-v3-20260725","2026-07-25","openrouter_selective",1,38,0,16,16,"partial_or_smoke",,,"One-document canary."
"openrouter-selective-first5-v2-20260725","2026-07-25","openrouter_selective",0,0,0,0,0,"partial_or_smoke",,,"Incomplete."
"openrouter-selective-first5-v3-20260725","2026-07-25","openrouter_selective",2,88,0,22,22,"partial_or_smoke",,,"Incomplete after two documents."
"recall-s1-doc100-enum","2026-07-26","recall_s1",1,10,0,4,4,"partial_or_smoke",,,"One-document probe."
"recall-s1-doc100-u","2026-07-26","recall_s1",1,5,0,4,4,"partial_or_smoke",,,"One-document probe."
"recall-s1-smoke","2026-07-26","recall_s1",3,121,0,26,26,"partial_or_smoke",,,"Smoke variant."
"recall-s1-smoke-700","2026-07-26","recall_s1",3,134,0,25,25,"partial_or_smoke",,,"Smoke variant."
"recall-s1-smoke-c2","2026-07-26","recall_s1",3,127,0,23,23,"partial_or_smoke",,,"Smoke variant."
"recall-s1-smoke-c2-nr","2026-07-26","recall_s1",3,125,0,27,27,"partial_or_smoke",,,"Smoke variant."
"recall-s1-smoke-final","2026-07-26","recall_s1",3,120,0,23,23,"partial_or_smoke",,,"Smoke variant."
"recall-s2-smoke","2026-07-26","recall_s2",0,0,0,0,0,"partial_or_smoke",,,"Incomplete."
"recall-s2-smoke-v2","2026-07-26","recall_s2",3,131,0,26,26,"partial_or_smoke",,,"Smoke completed."
"gliner-multi-v2.1",,"model_candidate",0,0,0,0,0,"considered_not_run",,,"Not run."
"bamibert-vimedner",,"model_candidate",0,0,0,0,0,"considered_not_run",,,"Not run; no required lab-result label."
"exact-bracketed-icd-aliases","2026-07-27","terminology_proposal",0,0,0,0,0,"considered_not_run",,,"Not implemented because likely leaderboard reach was small."
"broad-icd-aliases","2026-07-27","terminology_proposal",0,0,0,0,0,"considered_not_run",,,"Rejected before implementation because many aliases were ambiguous."
"threshold-prune-237","2026-07-27","entity_pruning_proposal",0,0,0,0,0,"considered_not_run",,,"Rejected as unsafe."
"rxnorm-scdc-crawl","2026-07-28","terminology_proposal",0,0,0,0,0,"considered_not_run",,,"Not crawled or tested."
"relaxed-icd-thresholds","2026-07-28","terminology_proposal",0,0,0,0,0,"considered_not_run",,,"Abandoned after sparse precise Direct V1 codes outscored the denser baseline."
"stronger-qwen-replacement",,"model_candidate",0,0,0,0,0,"considered_not_run",,,"Not tested."
"manual-development-set",,"evaluation_proposal",0,0,0,0,0,"considered_not_run",,,"Not created."
